station,basin,X,Y
6268,SEINE,639528.0000010737,6892124.0001023365
6382,SEINE,571754.0000022844,6913715.000102281
6593,SEINE,548793.0000026566,6827128.000102402
6755,SEINE,570167.8000022861,6840363.000102392
6966,SEINE,607189.0000016654,6960614.00010219
7247,SEINE,499051.0000035956,6944842.000102184
7291,SEINE,518513.0000032008,6851847.000102357
7438,SEINE,496783.720003607,6893081.500102284
7467,SEINE,493622.12000366754,6900923.500102267
7472,SEINE,500320.00000355294,6908582.000102258
7517,SEINE,478689.84000391106,6866083.500102314
7594,SEINE,489174.2500037389,6888015.000102286
7661,SEINE,456837.0300042913,6858143.000102311
7708,SEINE,451426.00000441156,6894075.000102253
7783,SEINE,431116.50000475865,6877094.500102266
7840,SEINE,453221.00000437873,6892511.000102256
7891,SEINE,431002.120004786,6910886.000102208
7940,SEINE,418804.120004963,6860593.500102281
7973,SEINE,409650.28000513837,6877977.000102247
8038,SEINE,369949.72000589827,6942835.000102093
8083,SEINE,379446.7500056909,6899671.500102187
8127,SEINE,381716.5600056992,6954906.000102077
8226,SEINE,378045.50000570796,6891015.0001022015
8257,SEINE,378477.0000056862,6875370.000102225
8314,SEINE,412986.00000505813,6851638.000102285
8325,SEINE,404338.00000521133,6852976.000102277
8383,SEINE,409631.4400051101,6842919.500102294
8442,SEINE,383604.3000055655,6841489.000102273
8530,LOIRE,794404.8999984156,6414570.000104744
8564,LOIRE,755052.5999990724,6438592.000104745
8588,LOIRE,792939.7999984365,6430101.000104738
8618,LOIRE,809021.9999981588,6454562.000104727
8629,LOIRE,770714.5999987994,6488170.500104716
8738,LOIRE,791102.9999984466,6516018.500104688
8776,LOIRE,798178.0599983184,6545533.000104654
8805,LOIRE,772960.9999987477,6558940.000104645
8870,LOIRE,757307.5999990181,6546935.000104662
8879,LOIRE,752043.7999991011,6600410.0001045875
8884,LOIRE,754892.0999990498,6614790.000104563
8928,LOIRE,718938.9999996751,6681860.000102476
8952,LOIRE,758934.399999013,6400300.000104752
8976,LOIRE,736139.0999993915,6435260.000104749
8980,LOIRE,738584.9999993491,6446380.000104743
8985,LOIRE,751374.9999991313,6461760.000104735
9001,LOIRE,692875.0000001205,6464700.000104738
